Chain_ID,Chain_Name,Step_Number,Total_Steps_In_Chain,Disease_At_This_Step,Next_Disease_In_Progression,Avg_Years_To_Next_Disease,Cumulative_Years_From_Chain_Start,Biological_Mechanism,Evidence_Source,Key_Risk_Factors,Is_First_Disease,Is_Last_Disease
CHAIN_019,Osteoporosis → Fracture → Complex Regional Pain Syndrome → Fibromyalgia,4,4,Fibromyalgia,End of trajectory,—,6.0,Low bone density → pathological fracture → nerve sensitization at injury site → central pain sensitization,Japan elderly comorbidity study 2025; Denmark DTB fracture trajectories,"Female, postmenopausal, calcium deficiency, steroid use",No,Yes
CHAIN_020,Gout → Chronic Kidney Disease → Anemia due to Chronic Kidney Disease → Kidney Failure,1,4,Gout,Chronic Kidney Disease,4,0.0,Hyperuricemia deposits in kidneys → tubulointerstitial nephritis → progressive renal decline → EPO deficiency anemia → ESRD,Nature Communications gout cluster trajectory 2014; PMC 2025,"Male, age>50, diuretic use, meat-heavy diet, hypertension",Yes,No
CHAIN_020,Gout → Chronic Kidney Disease → Anemia due to Chronic Kidney Disease → Kidney Failure,2,4,Chronic Kidney Disease,Anemia due to Chronic Kidney Disease,5,4.0,Hyperuricemia deposits in kidneys → tubulointerstitial nephritis → progressive renal decline → EPO deficiency anemia → ESRD,Nature Communications gout cluster trajectory 2014; PMC 2025,"Male, age>50, diuretic use, meat-heavy diet, hypertension",No,No
CHAIN_020,Gout → Chronic Kidney Disease → Anemia due to Chronic Kidney Disease → Kidney Failure,3,4,Anemia due to Chronic Kidney Disease,Kidney Failure,4,9.0,Hyperuricemia deposits in kidneys → tubulointerstitial nephritis → progressive renal decline → EPO deficiency anemia → ESRD,Nature Communications gout cluster trajectory 2014; PMC 2025,"Male, age>50, diuretic use, meat-heavy diet, hypertension",No,No
CHAIN_020,Gout → Chronic Kidney Disease → Anemia due to Chronic Kidney Disease → Kidney Failure,4,4,Kidney Failure,End of trajectory,—,13.0,Hyperuricemia deposits in kidneys → tubulointerstitial nephritis → progressive renal decline → EPO deficiency anemia → ESRD,Nature Communications gout cluster trajectory 2014; PMC 2025,"Male, age>50, diuretic use, meat-heavy diet, hypertension",No,Yes
CHAIN_021,Rheumatoid Arthritis → Osteoporosis → Fracture of the Shoulder,1,3,Rheumatoid Arthritis,Osteoporosis,6,0.0,Chronic inflammation + steroid treatment accelerate bone loss → fragility fractures at minimal trauma,Lancet Digital Health musculoskeletal comorbidity cluster 2022,"Long-term corticosteroid use, female, low calcium intake",Yes,No
CHAIN_021,Rheumatoid Arthritis → Osteoporosis → Fracture of the Shoulder,2,3,Osteoporosis,Fracture of the Shoulder,3,6.0,Chronic inflammation + steroid treatment accelerate bone loss → fragility fractures at minimal trauma,Lancet Digital Health musculoskeletal comorbidity cluster 2022,"Long-term corticosteroid use, female, low calcium intake",No,No
CHAIN_021,Rheumatoid Arthritis → Osteoporosis → Fracture of the Shoulder,3,3,Fracture of the Shoulder,End of trajectory,—,9.0,Chronic inflammation + steroid treatment accelerate bone loss → fragility fractures at minimal trauma,Lancet Digital Health musculoskeletal comorbidity cluster 2022,"Long-term corticosteroid use, female, low calcium intake",No,Yes
CHAIN_022,Chronic Sinusitis → Head and Neck Cancer → Lymphoma,1,3,Chronic Sinusitis,Head and Neck Cancer,10,0.0,Chronic mucosal inflammation from sinusitis creates carcinogenic microenvironment → squamous cell carcinoma → lymphatic spread,PMC oncology comorbidity data; WHO ENT cancer trajectories,"Smoking, HPV infection, alcohol use, occupational chemical exposure",Yes,No
CHAIN_022,Chronic Sinusitis → Head and Neck Cancer → Lymphoma,2,3,Head and Neck Cancer,Lymphoma,3,10.0,Chronic mucosal inflammation from sinusitis creates carcinogenic microenvironment → squamous cell carcinoma → lymphatic spread,PMC oncology comorbidity data; WHO ENT cancer trajectories,"Smoking, HPV infection, alcohol use, occupational chemical exposure",No,No
CHAIN_022,Chronic Sinusitis → Head and Neck Cancer → Lymphoma,3,3,Lymphoma,End of trajectory,—,13.0,Chronic mucosal inflammation from sinusitis creates carcinogenic microenvironment → squamous cell carcinoma → lymphatic spread,PMC oncology comorbidity data; WHO ENT cancer trajectories,"Smoking, HPV infection, alcohol use, occupational chemical exposure",No,Yes
CHAIN_023,Obesity → Endometrial Cancer → Lymphedema,1,3,Obesity,Endometrial Cancer,6,0.0,Excess estrogen from adipose tissue promotes endometrial proliferation → cancer → surgical/radiation lymph node damage → lymphedema,WHO female cancer trajectories; Lancet Digital Health 2022,"Postmenopausal, nulliparous, DM, PCOS",Yes,No
CHAIN_023,Obesity → Endometrial Cancer → Lymphedema,2,3,Endometrial Cancer,Lymphedema,2,6.0,Excess estrogen from adipose tissue promotes endometrial proliferation → cancer → surgical/radiation lymph node damage → lymphedema,WHO female cancer trajectories; Lancet Digital Health 2022,"Postmenopausal, nulliparous, DM, PCOS",No,No
CHAIN_023,Obesity → Endometrial Cancer → Lymphedema,3,3,Lymphedema,End of trajectory,—,8.0,Excess estrogen from adipose tissue promotes endometrial proliferation → cancer → surgical/radiation lymph node damage → lymphedema,WHO female cancer trajectories; Lancet Digital Health 2022,"Postmenopausal, nulliparous, DM, PCOS",No,Yes
CHAIN_024,Hepatitis due to a Toxin → Cirrhosis → Liver Cancer → Anemia due to Malignancy,1,4,Hepatitis due to a Toxin,Cirrhosis,3,0.0,Toxic/viral hepatocyte death → fibrosis → hepatocellular carcinoma → bone marrow suppression by tumor cytokines,China 8.5M inpatient comorbidity network; WHO HCC guidelines,"Aflatoxin, alcohol, Hepatitis B/C (endemic in East Africa)",Yes,No
CHAIN_024,Hepatitis due to a Toxin → Cirrhosis → Liver Cancer → Anemia due to Malignancy,2,4,Cirrhosis,Liver Cancer,8,3.0,Toxic/viral hepatocyte death → fibrosis → hepatocellular carcinoma → bone marrow suppression by tumor cytokines,China 8.5M inpatient comorbidity network; WHO HCC guidelines,"Aflatoxin, alcohol, Hepatitis B/C (endemic in East Africa)",No,No
CHAIN_024,Hepatitis due to a Toxin → Cirrhosis → Liver Cancer → Anemia due to Malignancy,3,4,Liver Cancer,Anemia due to Malignancy,2,11.0,Toxic/viral hepatocyte death → fibrosis → hepatocellular carcinoma → bone marrow suppression by tumor cytokines,China 8.5M inpatient comorbidity network; WHO HCC guidelines,"Aflatoxin, alcohol, Hepatitis B/C (endemic in East Africa)",No,No
CHAIN_024,Hepatitis due to a Toxin → Cirrhosis → Liver Cancer → Anemia due to Malignancy,4,4,Anemia due to Malignancy,End of trajectory,—,13.0,Toxic/viral hepatocyte death → fibrosis → hepatocellular carcinoma → bone marrow suppression by tumor cytokines,China 8.5M inpatient comorbidity network; WHO HCC guidelines,"Aflatoxin, alcohol, Hepatitis B/C (endemic in East Africa)",No,Yes
CHAIN_025,Hypertension → Intracranial Hemorrhage → Hydrocephalus → Normal Pressure Hydrocephalus,1,4,Hypertension,Intracranial Hemorrhage,8,0.0,Chronic hypertension ruptures small brain vessels → blood obstructs CSF flow → communicating hydrocephalus,Denmark DTB cerebrovascular trajectory; Japan elderly study 2025,"Uncontrolled BP, elderly, anticoagulant use",Yes,No
CHAIN_025,Hypertension → Intracranial Hemorrhage → Hydrocephalus → Normal Pressure Hydrocephalus,2,4,Intracranial Hemorrhage,Hydrocephalus,0.5,8.0,Chronic hypertension ruptures small brain vessels → blood obstructs CSF flow → communicating hydrocephalus,Denmark DTB cerebrovascular trajectory; Japan elderly study 2025,"Uncontrolled BP, elderly, anticoagulant use",No,No
CHAIN_025,Hypertension → Intracranial Hemorrhage → Hydrocephalus → Normal Pressure Hydrocephalus,3,4,Hydrocephalus,Normal Pressure Hydrocephalus,2,8.5,Chronic hypertension ruptures small brain vessels → blood obstructs CSF flow → communicating hydrocephalus,Denmark DTB cerebrovascular trajectory; Japan elderly study 2025,"Uncontrolled BP, elderly, anticoagulant use",No,No
CHAIN_025,Hypertension → Intracranial Hemorrhage → Hydrocephalus → Normal Pressure Hydrocephalus,4,4,Normal Pressure Hydrocephalus,End of trajectory,—,10.5,Chronic hypertension ruptures small brain vessels → blood obstructs CSF flow → communicating hydrocephalus,Denmark DTB cerebrovascular trajectory; Japan elderly study 2025,"Uncontrolled BP, elderly, anticoagulant use",No,Yes
CHAIN_026,Diabetes → Neuropathic Pain → Restless Leg Syndrome → Chronic Insomnia (Primary Insomnia),1,4,Type 2 Diabetes,Neuropathic Pain,6,0.0,Peripheral nerve damage from hyperglycemia → uncomfortable sensations → nocturnal leg restlessness → inability to sleep,PMC 2025 cSPADE endocrine patterns; PMID:35306857,"Poor glycemic control, iron deficiency, renal disease",Yes,No
CHAIN_026,Diabetes → Neuropathic Pain → Restless Leg Syndrome → Chronic Insomnia (Primary Insomnia),2,4,Neuropathic Pain,Restless Leg Syndrome,2,6.0,Peripheral nerve damage from hyperglycemia → uncomfortable sensations → nocturnal leg restlessness → inability to sleep,PMC 2025 cSPADE endocrine patterns; PMID:35306857,"Poor glycemic control, iron deficiency, renal disease",No,No
CHAIN_026,Diabetes → Neuropathic Pain → Restless Leg Syndrome → Chronic Insomnia (Primary Insomnia),3,4,Restless Leg Syndrome,Primary Insomnia,1,8.0,Peripheral nerve damage from hyperglycemia → uncomfortable sensations → nocturnal leg restlessness → inability to sleep,PMC 2025 cSPADE endocrine patterns; PMID:35306857,"Poor glycemic control, iron deficiency, renal disease",No,No
CHAIN_026,Diabetes → Neuropathic Pain → Restless Leg Syndrome → Chronic Insomnia (Primary Insomnia),4,4,Primary Insomnia,End of trajectory,—,9.0,Peripheral nerve damage from hyperglycemia → uncomfortable sensations → nocturnal leg restlessness → inability to sleep,PMC 2025 cSPADE endocrine patterns; PMID:35306857,"Poor glycemic control, iron deficiency, renal disease",No,Yes
CHAIN_027,Hypertension → Ocular Hypertension → Open-Angle Glaucoma → Macular Degeneration,1,4,Hypertension,Ocular Hypertension,4,0.0,Systemic hypertension raises intraocular pressure → optic nerve compression → progressive vision field loss → macular ischemia,Denmark DTB glaucoma cluster; ophthalmology comorbidity studies,"Age>60, African ancestry, family history, high myopia",Yes,No
CHAIN_027,Hypertension → Ocular Hypertension → Open-Angle Glaucoma → Macular Degeneration,2,4,Ocular Hypertension,Open-Angle Glaucoma,5,4.0,Systemic hypertension raises intraocular pressure → optic nerve compression → progressive vision field loss → macular ischemia,Denmark DTB glaucoma cluster; ophthalmology comorbidity studies,"Age>60, African ancestry, family history, high myopia",No,No
CHAIN_027,Hypertension → Ocular Hypertension → Open-Angle Glaucoma → Macular Degeneration,3,4,Open-Angle Glaucoma,Macular Degeneration,5,9.0,Systemic hypertension raises intraocular pressure → optic nerve compression → progressive vision field loss → macular ischemia,Denmark DTB glaucoma cluster; ophthalmology comorbidity studies,"Age>60, African ancestry, family history, high myopia",No,No
CHAIN_027,Hypertension → Ocular Hypertension → Open-Angle Glaucoma → Macular Degeneration,4,4,Macular Degeneration,End of trajectory,—,14.0,Systemic hypertension raises intraocular pressure → optic nerve compression → progressive vision field loss → macular ischemia,Denmark DTB glaucoma cluster; ophthalmology comorbidity studies,"Age>60, African ancestry, family history, high myopia",No,Yes
CHAIN_028,Diabetes → Diabetic retinopathy → Vitreous Hemorrhage → Retinal Detachment,1,4,Type 2 Diabetes,Diabetic retinopathy,7,0.0,Hyperglycemia → retinal neovascularization → fragile new vessels bleed → vitreous fills with blood → traction on retina → detachment,WHO diabetic eye disease trajectory; Denmark DTB,"Duration of DM>10yrs, HbA1c>9%, hypertension, smoker",Yes,No
CHAIN_028,Diabetes → Diabetic retinopathy → Vitreous Hemorrhage → Retinal Detachment,2,4,Diabetic retinopathy,Vitreous Hemorrhage,2,7.0,Hyperglycemia → retinal neovascularization → fragile new vessels bleed → vitreous fills with blood → traction on retina → detachment,WHO diabetic eye disease trajectory; Denmark DTB,"Duration of DM>10yrs, HbA1c>9%, hypertension, smoker",No,No
CHAIN_028,Diabetes → Diabetic retinopathy → Vitreous Hemorrhage → Retinal Detachment,3,4,Vitreous Hemorrhage,Retinal Detachment,1,9.0,Hyperglycemia → retinal neovascularization → fragile new vessels bleed → vitreous fills with blood → traction on retina → detachment,WHO diabetic eye disease trajectory; Denmark DTB,"Duration of DM>10yrs, HbA1c>9%, hypertension, smoker",No,No
CHAIN_028,Diabetes → Diabetic retinopathy → Vitreous Hemorrhage → Retinal Detachment,4,4,Retinal Detachment,End of trajectory,—,10.0,Hyperglycemia → retinal neovascularization → fragile new vessels bleed → vitreous fills with blood → traction on retina → detachment,WHO diabetic eye disease trajectory; Denmark DTB,"Duration of DM>10yrs, HbA1c>9%, hypertension, smoker",No,Yes
CHAIN_029,Psoriasis → Arthritis → Osteoporosis → Fracture,1,4,Psoriasis,Arthritis,5,0.0,Systemic psoriatic inflammation → joint erosion (psoriatic arthritis) → steroid treatment causes bone loss → fracture,Lancet Digital Health 2022 immune-musculoskeletal cluster,"Male sex, HLA-B27, corticosteroid use, low vitamin D",Yes,No
CHAIN_029,Psoriasis → Arthritis → Osteoporosis → Fracture,2,4,Arthritis,Osteoporosis,6,5.0,Systemic psoriatic inflammation → joint erosion (psoriatic arthritis) → steroid treatment causes bone loss → fracture,Lancet Digital Health 2022 immune-musculoskeletal cluster,"Male sex, HLA-B27, corticosteroid use, low vitamin D",No,No
CHAIN_029,Psoriasis → Arthritis → Osteoporosis → Fracture,3,4,Osteoporosis,Fracture,3,11.0,Systemic psoriatic inflammation → joint erosion (psoriatic arthritis) → steroid treatment causes bone loss → fracture,Lancet Digital Health 2022 immune-musculoskeletal cluster,"Male sex, HLA-B27, corticosteroid use, low vitamin D",No,No
CHAIN_029,Psoriasis → Arthritis → Osteoporosis → Fracture,4,4,Fracture,End of trajectory,—,14.0,Systemic psoriatic inflammation → joint erosion (psoriatic arthritis) → steroid treatment causes bone loss → fracture,Lancet Digital Health 2022 immune-musculoskeletal cluster,"Male sex, HLA-B27, corticosteroid use, low vitamin D",No,Yes
CHAIN_030,Lupus → Chronic Kidney Disease → Anemia due to Chronic Kidney Disease → Kidney Failure,1,4,Lupus,Chronic Kidney Disease,3,0.0,Autoimmune complex deposition in glomeruli (lupus nephritis) → progressive renal scarring → EPO deficiency → ESRD,Lupus nephritis WHO trajectory; PMID:35306857,"Female, African ancestry, young onset lupus, high anti-dsDNA",Yes,No
CHAIN_030,Lupus → Chronic Kidney Disease → Anemia due to Chronic Kidney Disease → Kidney Failure,2,4,Chronic Kidney Disease,Anemia due to Chronic Kidney Disease,5,3.0,Autoimmune complex deposition in glomeruli (lupus nephritis) → progressive renal scarring → EPO deficiency → ESRD,Lupus nephritis WHO trajectory; PMID:35306857,"Female, African ancestry, young onset lupus, high anti-dsDNA",No,No
CHAIN_030,Lupus → Chronic Kidney Disease → Anemia due to Chronic Kidney Disease → Kidney Failure,3,4,Anemia due to Chronic Kidney Disease,Kidney Failure,4,8.0,Autoimmune complex deposition in glomeruli (lupus nephritis) → progressive renal scarring → EPO deficiency → ESRD,Lupus nephritis WHO trajectory; PMID:35306857,"Female, African ancestry, young onset lupus, high anti-dsDNA",No,No
CHAIN_030,Lupus → Chronic Kidney Disease → Anemia due to Chronic Kidney Disease → Kidney Failure,4,4,Kidney Failure,End of trajectory,—,12.0,Autoimmune complex deposition in glomeruli (lupus nephritis) → progressive renal scarring → EPO deficiency → ESRD,Lupus nephritis WHO trajectory; PMID:35306857,"Female, African ancestry, young onset lupus, high anti-dsDNA",No,Yes
CHAIN_031,Malaria → Anemia → Anemia due to Chronic Disease → Chronic Fatigue Syndrome,1,4,Malaria,Anemia,0.5,0.0,Repeated hemolysis → chronic low hemoglobin → oxygen deprivation to tissues → post-infectious fatigue syndrome,Sub-Saharan Africa disease burden; WHO Kenya malaria comorbidity data,"Children under 5, pregnant women, sickle cell trait, highlands Kenya",Yes,No
CHAIN_031,Malaria → Anemia → Anemia due to Chronic Disease → Chronic Fatigue Syndrome,2,4,Anemia,Anemia of Chronic Disease,1,0.5,Repeated hemolysis → chronic low hemoglobin → oxygen deprivation to tissues → post-infectious fatigue syndrome,Sub-Saharan Africa disease burden; WHO Kenya malaria comorbidity data,"Children under 5, pregnant women, sickle cell trait, highlands Kenya",No,No
CHAIN_031,Malaria → Anemia → Anemia due to Chronic Disease → Chronic Fatigue Syndrome,3,4,Anemia of Chronic Disease,Chronic Fatigue Syndrome,2,1.5,Repeated hemolysis → chronic low hemoglobin → oxygen deprivation to tissues → post-infectious fatigue syndrome,Sub-Saharan Africa disease burden; WHO Kenya malaria comorbidity data,"Children under 5, pregnant women, sickle cell trait, highlands Kenya",No,No
CHAIN_031,Malaria → Anemia → Anemia due to Chronic Disease → Chronic Fatigue Syndrome,4,4,Chronic Fatigue Syndrome,End of trajectory,—,3.5,Repeated hemolysis → chronic low hemoglobin → oxygen deprivation to tissues → post-infectious fatigue syndrome,Sub-Saharan Africa disease burden; WHO Kenya malaria comorbidity data,"Children under 5, pregnant women, sickle cell trait, highlands Kenya",No,Yes
CHAIN_032,Dengue Fever → Thrombocytopenia → Coagulation (Bleeding) Disorder → Intracranial Hemorrhage,1,4,Dengue Fever,Thrombocytopenia,0.05,0.0,Dengue virus suppresses platelet production → severe thrombocytopenia → clotting failure → spontaneous brain bleed,WHO dengue severity classification; East Africa dengue comorbidity,"Second dengue infection (ADE), elderly, anti-platelet medication",Yes,No
CHAIN_032,Dengue Fever → Thrombocytopenia → Coagulation (Bleeding) Disorder → Intracranial Hemorrhage,2,4,Thrombocytopenia,Coagulation (Bleeding) Disorder,0.1,0.05,Dengue virus suppresses platelet production → severe thrombocytopenia → clotting failure → spontaneous brain bleed,WHO dengue severity classification; East Africa dengue comorbidity,"Second dengue infection (ADE), elderly, anti-platelet medication",No,No
CHAIN_032,Dengue Fever → Thrombocytopenia → Coagulation (Bleeding) Disorder → Intracranial Hemorrhage,3,4,Coagulation (Bleeding) Disorder,Intracranial Hemorrhage,0.1,0.15,Dengue virus suppresses platelet production → severe thrombocytopenia → clotting failure → spontaneous brain bleed,WHO dengue severity classification; East Africa dengue comorbidity,"Second dengue infection (ADE), elderly, anti-platelet medication",No,No
CHAIN_032,Dengue Fever → Thrombocytopenia → Coagulation (Bleeding) Disorder → Intracranial Hemorrhage,4,4,Intracranial Hemorrhage,End of trajectory,—,0.25,Dengue virus suppresses platelet production → severe thrombocytopenia → clotting failure → spontaneous brain bleed,WHO dengue severity classification; East Africa dengue comorbidity,"Second dengue infection (ADE), elderly, anti-platelet medication",No,Yes
CHAIN_033,Leishmaniasis → Anemia → Anemia of Chronic Disease → Protein Deficiency,1,4,Leishmaniasis,Anemia,0.5,0.0,Visceral leishmaniasis destroys spleen/liver → chronic anemia → malnutrition from appetite loss → protein wasting,WHO Kenya/East Africa kala-azar endemic data,"Rural areas, sandfly exposure, malnutrition, immunosuppression",Yes,No
CHAIN_033,Leishmaniasis → Anemia → Anemia of Chronic Disease → Protein Deficiency,2,4,Anemia,Anemia of Chronic Disease,1,0.5,Visceral leishmaniasis destroys spleen/liver → chronic anemia → malnutrition from appetite loss → protein wasting,WHO Kenya/East Africa kala-azar endemic data,"Rural areas, sandfly exposure, malnutrition, immunosuppression",No,No
CHAIN_033,Leishmaniasis → Anemia → Anemia of Chronic Disease → Protein Deficiency,3,4,Anemia of Chronic Disease,Protein Deficiency,1,1.5,Visceral leishmaniasis destroys spleen/liver → chronic anemia → malnutrition from appetite loss → protein wasting,WHO Kenya/East Africa kala-azar endemic data,"Rural areas, sandfly exposure, malnutrition, immunosuppression",No,No
CHAIN_033,Leishmaniasis → Anemia → Anemia of Chronic Disease → Protein Deficiency,4,4,Protein Deficiency,End of trajectory,—,2.5,Visceral leishmaniasis destroys spleen/liver → chronic anemia → malnutrition from appetite loss → protein wasting,WHO Kenya/East Africa kala-azar endemic data,"Rural areas, sandfly exposure, malnutrition, immunosuppression",No,Yes
